(41.05649948120117, 28.81988525390625)
(41.05649948120117, 28.81988525390625)
(41.056495666503906, 28.819883346557617)
(41.05649185180664, 28.819883346557617)
(41.05649185180664, 28.819881439208984)
(41.05648422241211, 28.81987953186035)
(41.056480407714844, 28.81987762451172)
(41.05647659301758, 28.819875717163086)
(41.05647277832031, 28.819873809814453)
(41.05647277832031, 28.81987190246582)
(41.05646896362305, 28.819869995117188)
(41.05646514892578, 28.819869995117188)
(41.056461334228516, 28.819868087768555)
(41.05645751953125, 28.819868087768555)
(41.056453704833984, 28.819868087768555)
(41.05644989013672, 28.819866180419922)
(41.05644607543945, 28.819866180419922)
(41.05644226074219, 28.81986427307129)
(41.05643844604492, 28.81986427307129)
(41.05643844604492, 28.819862365722656)
(41.056434631347656, 28.819862365722656)
(41.05643081665039, 28.819860458374023)
(41.056427001953125, 28.819860458374023)
(41.05642318725586, 28.81985855102539)
(41.05642318725586, 28.81985855102539)
(41.056419372558594, 28.81985855102539)
(41.056419372558594, 28.819856643676758)
(41.056419372558594, 28.819856643676758)
(41.05641555786133, 28.819856643676758)
(41.05641174316406, 28.819856643676758)
(41.05641174316406, 28.819856643676758)
(41.05641174316406, 28.819854736328125)
(41.0564079284668, 28.819854736328125)
(41.0564079284668, 28.819854736328125)
(41.05641174316406, 28.819854736328125)
(41.0564079284668, 28.819852828979492)
(41.0564079284668, 28.819852828979492)
(41.0564079284668, 28.81985092163086)
(41.0564079284668, 28.81985092163086)
(41.0564079284668, 28.819849014282227)
(41.05641174316406, 28.819849014282227)
(41.05641174316406, 28.819849014282227)
(41.05641174316406, 28.819849014282227)
(41.05641174316406, 28.819849014282227)
(41.05641174316406, 28.819849014282227)
(41.05641174316406, 28.819849014282227)
(41.0564079284668, 28.819847106933594)
(41.0564079284668, 28.819847106933594)
(41.0564079284668, 28.81984519958496)
(41.05640411376953, 28.819843292236328)
(41.05640411376953, 28.819841384887695)
(41.05640411376953, 28.819839477539062)
(41.056400299072266, 28.819839477539062)
(41.056400299072266, 28.81983757019043)
(41.056400299072266, 28.819835662841797)
(41.056400299072266, 28.819835662841797)
(41.056400299072266, 28.819835662841797)
(41.056400299072266, 28.819835662841797)
(41.056400299072266, 28.819835662841797)
(41.056400299072266, 28.819835662841797)
(41.056400299072266, 28.81983757019043)
(41.056400299072266, 28.819835662841797)
(41.056400299072266, 28.819835662841797)
(41.056400299072266, 28.819835662841797)
(41.056396484375, 28.819835662841797)
(41.056396484375, 28.819835662841797)
(41.056392669677734, 28.819835662841797)
(41.056392669677734, 28.819835662841797)
(41.056392669677734, 28.81983757019043)
(41.05638885498047, 28.81983757019043)
(41.056392669677734, 28.81983757019043)
(41.05638885498047, 28.81983757019043)
(41.05638885498047, 28.81983757019043)
(41.05638885498047, 28.819839477539062)
(41.056392669677734, 28.81983757019043)
(41.056392669677734, 28.81983757019043)
(41.05638885498047, 28.81983757019043)
(41.056392669677734, 28.81983757019043)
(41.056392669677734, 28.81983757019043)
(41.056392669677734, 28.819839477539062)
(41.05638885498047, 28.819839477539062)
(41.05638885498047, 28.819839477539062)
(41.056392669677734, 28.819839477539062)
(41.056392669677734, 28.819841384887695)
(41.056392669677734, 28.819841384887695)
(41.056392669677734, 28.819841384887695)
(41.05638885498047, 28.819841384887695)
(41.0563850402832, 28.819841384887695)
(41.0563850402832, 28.819839477539062)
(41.05638122558594, 28.81983757019043)
(41.05637741088867, 28.819835662841797)
(41.056373596191406, 28.819833755493164)
(41.056373596191406, 28.819833755493164)
(41.056373596191406, 28.81983184814453)
(41.056373596191406, 28.81983184814453)
(41.056373596191406, 28.8198299407959)
(41.056373596191406, 28.8198299407959)
(41.05637741088867, 28.819828033447266)
(41.05637741088867, 28.819828033447266)
(41.05637741088867, 28.819828033447266)
(41.05637741088867, 28.819826126098633)
(41.056373596191406, 28.819826126098633)
(41.056373596191406, 28.819826126098633)
(41.056373596191406, 28.81982421875)
(41.05636978149414, 28.81982421875)
(41.05636978149414, 28.819822311401367)
(41.05636978149414, 28.819820404052734)
(41.056365966796875, 28.819820404052734)
(41.056365966796875, 28.819820404052734)
(41.056365966796875, 28.819820404052734)
(41.056365966796875, 28.8198184967041)
(41.05636215209961, 28.8198184967041)
(41.05636215209961, 28.8198184967041)
(41.05636215209961, 28.8198184967041)
(41.056358337402344, 28.8198184967041)
(41.056358337402344, 28.81981658935547)
(41.056358337402344, 28.81981658935547)
(41.05635452270508, 28.819814682006836)
(41.05635452270508, 28.819814682006836)
(41.05635452270508, 28.819812774658203)
(41.05635070800781, 28.81981086730957)
(41.05634689331055, 28.81981086730957)
(41.05634689331055, 28.819808959960938)
(41.05634307861328, 28.819807052612305)
(41.05634307861328, 28.819805145263672)
(41.056339263916016, 28.819805145263672)
(41.05633544921875, 28.81980323791504)
(41.05633544921875, 28.81980323791504)
(41.056331634521484, 28.819801330566406)
(41.05632781982422, 28.819799423217773)
(41.05632781982422, 28.81979751586914)
(41.05632781982422, 28.81979751586914)
(41.05632400512695, 28.819795608520508)
(41.05632019042969, 28.819795608520508)
(41.05632019042969, 28.819793701171875)
(41.05632019042969, 28.819793701171875)
(41.05631637573242, 28.819791793823242)
